"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","70","Проверка разных вариантов невалидного токена 2. Запрос отклоняется, если токен невалиден: слишком длинный: 33 символа","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenHasInvalidFormat"
"","90","Пользователь может выйти после успешного входа","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.SessionLifecycleTests","com.nordcodes.api.tests.SessionLifecycleTests","logoutShouldReturnOkAfterSuccessfulLogin"
"","60","Проверка запросов с неверным ключом доступа 1. Запрос на вход пользователя отклоняется, если ключ доступа неверный","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenApiKeyIsInvalid"
"","42","Проверка невалидного токена для разных действий 3. Запрос на выход пользователя отклоняется, если токен имеет неверный формат","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenIsInvalidForDifferentActions"
"","734","После выхода пользователь больше не может выполнять защищённые действия","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.SessionLifecycleTests","com.nordcodes.api.tests.SessionLifecycleTests","actionShouldBecomeUnavailableAfterLogout"
"","50","Проверка разных вариантов невалидного токена 5. Запрос отклоняется, если токен невалиден: содержит спецсимволы","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenHasInvalidFormat"
"","247","Пользователь не может выполнить действие без предварительного входа","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.ActionTests","com.nordcodes.api.tests.ActionTests","actionShouldReturnErrorWhenUserIsNotLoggedIn"
"","76","Проверка запросов без ключа доступа 1. Запрос на вход пользователя отклоняется, если ключ доступа не передан","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenApiKeyIsMissing"
"","77","Запрос отклоняется, если не передан токен","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenIsMissing"
"","111","Пользователь получает ошибку, если внешний сервис не смог выполнить действие","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.ActionTests","com.nordcodes.api.tests.ActionTests","actionShouldReturnErrorWhenExternalServiceReturnsError"
